ssrd,longitude,latitude
6691438,100.4,6
6652410,100.5,6
6628722,100.6,6
6636164,100.7,6
6723776,100.8,6
6822488,100.9,6
6973696,101,6
7262888,101.1,6
7585150,101.2,6
8027882,101.3,6
8596252,101.4,6
9153064,101.5,6
9689808,101.6,6
10216504.00000000,101.7,6
10705002.00000000,101.8,6
10905210.00000000,101.9,6
11015830.00000000,102,6
11060796.00000000,102.1,6
10740354.00000000,102.2,6
10381662.00000000,102.3,6
10047226.00000000,102.4,6
20121594.00000000,116.1,6
19931280.00000000,116.2,6
19603018.00000000,116.3,6
19275526.00000000,116.4,6
18947316.00000000,116.5,6
18619766.00000000,116.6,6
18334834.00000000,116.7,6
18474532.00000000,116.8,6
18698182.00000000,116.9,6
18934294.00000000,117,6
19248302.00000000,117.1,6
19579132.00000000,117.2,6
19867326.00000000,117.3,6
20047018.00000000,117.4,6
20216050.00000000,117.5,6
20314246.00000000,117.6,6
20199412.00000000,118,6
21535054.00000000,120.9,6
21676406.00000000,121,6
21855366.00000000,121.1,6
22308412.00000000,121.4,6
21823482.00000000,124.6,6
21436144.00000000,124.7,6
21004280.00000000,124.8,6
20568680.00000000,124.9,6
20085558.00000000,125,6
19613100.00000000,125.1,6
19806332.00000000,125.4,6
19941440.00000000,125.5,6
20047342.00000000,125.6,6
7260918,95.3,5.9
6075070,100.4,5.9
6169052,100.5,5.9
6166972,100.6,5.9
6172248,100.7,5.9
6261546,100.8,5.9
6341670,100.9,5.9
6466224,101,5.9
6694236,101.1,5.9
6989734,101.2,5.9
7434260,101.3,5.9
7988026,101.4,5.9
8503938,101.5,5.9
9043112,101.6,5.9
9589668,101.7,5.9
10070972.00000000,101.8,5.9
10280548.00000000,101.9,5.9
10380802.00000000,102,5.9
10389446.00000000,102.1,5.9
10108328.00000000,102.2,5.9
9760148,102.3,5.9
9418664,102.4,5.9
19899140.00000000,116.1,5.9
19675446.00000000,116.2,5.9
19338636.00000000,116.3,5.9
19009156.00000000,116.4,5.9
18680972.00000000,116.5,5.9
18387458.00000000,116.6,5.9
18179088.00000000,116.7,5.9
18335194.00000000,116.8,5.9
18592678.00000000,116.9,5.9
18824192.00000000,117,5.9
19146424.00000000,117.1,5.9
19496566.00000000,117.2,5.9
19814848.00000000,117.3,5.9
19955570.00000000,117.4,5.9
20117186.00000000,117.5,5.9
20221980.00000000,117.6,5.9
20120930.00000000,117.7,5.9
20050088.00000000,117.8,5.9
19915584.00000000,117.9,5.9
19767352.00000000,118,5.9
19710074.00000000,118.1,5.9
21494532.00000000,120.9,5.9
21040200.00000000,124.8,5.9
20623694.00000000,124.9,5.9
20153306.00000000,125,5.9
19794650.00000000,125.1,5.9
19695206.00000000,125.2,5.9
19779132.00000000,125.3,5.9
19933736.00000000,125.4,5.9
20070298.00000000,125.5,5.9
20165794.00000000,125.6,5.9
7538568,95.3,5.8
5636306,100.4,5.8
5659998,100.5,5.8
5683832,100.6,5.8
5704910,100.7,5.8
5777252,100.8,5.8
5846718,100.9,5.8
5968838,101,5.8
6185420,101.1,5.8
6418524,101.2,5.8
6834070,101.3,5.8
7339816,101.4,5.8
7846266,101.5,5.8
8387394,101.6,5.8
8944326,101.7,5.8
9446922,101.8,5.8
9644592,101.9,5.8
9733670,102,5.8
9730956,102.1,5.8
9462690,102.2,5.8
9128148,102.3,5.8
8791884,102.4,5.8
8417474,102.5,5.8
8105512,102.6,5.8
19644634.00000000,116.1,5.8
19417218.00000000,116.2,5.8
19082186.00000000,116.3,5.8
18745154.00000000,116.4,5.8
18442802.00000000,116.5,5.8
18212360.00000000,116.6,5.8
18020922.00000000,116.7,5.8
18171262.00000000,116.8,5.8
18451422.00000000,116.9,5.8
18726646.00000000,117,5.8
19061424.00000000,117.1,5.8
19428106.00000000,117.2,5.8
19728064.00000000,117.3,5.8
19888928.00000000,117.4,5.8
20028824.00000000,117.5,5.8
20094172.00000000,117.6,5.8
19984556.00000000,117.7,5.8
19843122.00000000,117.8,5.8
19679142.00000000,117.9,5.8
19494346.00000000,118,5.8
19404676.00000000,118.2,5.8
19458984.00000000,118.3,5.8
19516950.00000000,118.4,5.8
19926276.00000000,125.3,5.8
20069404.00000000,125.4,5.8
20184052.00000000,125.5,5.8
5181242,100.4,5.7
5189652,100.5,5.7
5219066,100.6,5.7
5268148,100.7,5.7
5327596,100.8,5.7
5397054,100.9,5.7
5514128,101,5.7
5735642,101.1,5.7
5936240,101.2,5.7
6270244,101.3,5.7
6773858,101.4,5.7
7280278,101.5,5.7
7821460,101.6,5.7
8371704,101.7,5.7
8887036,101.8,5.7
9025824,101.9,5.7
9111388,102,5.7
9131012,102.1,5.7
8840254,102.2,5.7
8499102,102.3,5.7
8168242,102.4,5.7
7817198,102.5,5.7
7425454,102.6,5.7
7233490,102.7,5.7
19408048.00000000,116,5.7
19274894.00000000,116.1,5.7
19051666.00000000,116.2,5.7
18712240.00000000,116.3,5.7
18418712.00000000,116.4,5.7
18344224.00000000,116.5,5.7
18133926.00000000,116.6,5.7
17910368.00000000,116.7,5.7
18092762.00000000,116.8,5.7
18375694.00000000,116.9,5.7
18683232.00000000,117,5.7
19021384.00000000,117.1,5.7
19387320.00000000,117.2,5.7
19711208.00000000,117.3,5.7
19848306.00000000,117.4,5.7
19959616.00000000,117.5,5.7
19891516.00000000,117.6,5.7
19703020.00000000,117.7,5.7
19562344.00000000,117.8,5.7
19397002.00000000,117.9,5.7
18795994.00000000,118.1,5.7
18981042.00000000,118.2,5.7
19059934.00000000,118.3,5.7
19136984.00000000,118.4,5.7
19235382.00000000,118.5,5.7
20103940.00000000,125.3,5.7
20259026.00000000,125.4,5.7
8823376,95.4,5.6
9185252,95.5,5.6
9604800,95.6,5.6
9666732,95.7,5.6
4747514,100.4,5.6
4748060,100.5,5.6
4803160,100.6,5.6
4866864,100.7,5.6
4916402,100.8,5.6
4975906,100.9,5.6
5092866,101,5.6
5291798,101.1,5.6
5453054,101.2,5.6
5773600,101.3,5.6
6267000,101.4,5.6
6771372,101.5,5.6
7310546,101.6,5.6
7833832,101.7,5.6
8332480,101.8,5.6
8441640,101.9,5.6
8507376,102,5.6
8563452,102.1,5.6
8229206,102.2,5.6
7872958,102.3,5.6
7530676,102.4,5.6
7250306,102.5,5.6
6900468,102.6,5.6
6821280,102.7,5.6
7115064,102.8,5.6
19180518.00000000,115.9,5.6
19016424.00000000,116,5.6
18832056.00000000,116.1,5.6
18605642.00000000,116.2,5.6
18321988.00000000,116.3,5.6
18169042.00000000,116.4,5.6
18112540.00000000,116.5,5.6
18074824.00000000,116.6,5.6
17927254.00000000,116.7,5.6
18068656.00000000,116.8,5.6
18379746.00000000,116.9,5.6
18707842.00000000,117,5.6
19026702.00000000,117.1,5.6
19362686.00000000,117.2,5.6
19669840.00000000,117.3,5.6
19802474.00000000,117.4,5.6
19835154.00000000,117.5,5.6
19726182.00000000,117.6,5.6
19429316.00000000,117.7,5.6
19250172.00000000,117.8,5.6
19085930.00000000,117.9,5.6
18849198.00000000,118,5.6
18588060.00000000,118.1,5.6
18565706.00000000,118.2,5.6
18661850.00000000,118.3,5.6
18739730.00000000,118.4,5.6
18843990.00000000,118.5,5.6
18991394.00000000,118.6,5.6
19104018.00000000,118.7,5.6
20440012.00000000,125.3,5.6
20425266.00000000,125.4,5.6
8585268,95.2,5.5
9002258,95.3,5.5
9338056,95.4,5.5
9774866,95.5,5.5
10211450.00000000,95.6,5.5
10273646.00000000,95.7,5.5
10189796.00000000,95.8,5.5
4355826,100.5,5.5
4424870,100.6,5.5
4489394,100.7,5.5
4540188,100.8,5.5
4589036,100.9,5.5
4678788,101,5.5
4841738,101.1,5.5
4992868,101.2,5.5
5309356,101.3,5.5
5802212,101.4,5.5
6290184,101.5,5.5
6798688,101.6,5.5
7293130,101.7,5.5
7757444,101.8,5.5
7896146,101.9,5.5
7950494,102,5.5
7969442,102.1,5.5
7632934,102.2,5.5
7268468,102.3,5.5
6925310,102.4,5.5
6646152,102.5,5.5
6367014,102.6,5.5
6343952,102.7,5.5
6715164,102.8,5.5
7088698,102.9,5.5
7558616,103,5.5
19920014.00000000,115.5,5.5
19783108.00000000,115.6,5.5
19533866.00000000,115.7,5.5
19231772.00000000,115.8,5.5
18942288.00000000,115.9,5.5
18690466.00000000,116,5.5
18439744.00000000,116.1,5.5
18222616.00000000,116.2,5.5
18076890.00000000,116.3,5.5
17929586.00000000,116.4,5.5
17874330.00000000,116.5,5.5
17874548.00000000,116.6,5.5
17828414.00000000,116.7,5.5
18068034.00000000,116.8,5.5
18398530.00000000,116.9,5.5
18727680.00000000,117,5.5
19045590.00000000,117.1,5.5
19362158.00000000,117.2,5.5
19636580.00000000,117.3,5.5
19666746.00000000,117.4,5.5
19676394.00000000,117.5,5.5
19563854.00000000,117.6,5.5
19270566.00000000,117.7,5.5
18987422.00000000,117.8,5.5
18738846.00000000,117.9,5.5
18446086.00000000,118,5.5
18163566.00000000,118.1,5.5
18150974.00000000,118.2,5.5
18250550.00000000,118.3,5.5
18355666.00000000,118.4,5.5
18514808.00000000,118.5,5.5
18693592.00000000,118.6,5.5
18881168.00000000,118.7,5.5
9157488,95.3,5.4
9628760,95.4,5.4
10081780.00000000,95.5,5.4
10502258.00000000,95.6,5.4
10580522.00000000,95.7,5.4
10502008.00000000,95.8,5.4
10476970.00000000,95.9,5.4
4003154,100.2,5.4
4033814,100.3,5.4
4077732,100.4,5.4
4162284,100.5,5.4
4231764,100.6,5.4
4296044,100.7,5.4
4347092,100.8,5.4
4397046,100.9,5.4
4476136,101,5.4
4612002,101.1,5.4
4759468,101.2,5.4
5079692,101.3,5.4
5572606,101.4,5.4
6032702,101.5,5.4
6463596,101.6,5.4
6949442,101.7,5.4
7393000,101.8,5.4
7552570,101.9,5.4
7606522,102,5.4
7580912,102.1,5.4
7273408,102.2,5.4
6908758,102.3,5.4
6567384,102.4,5.4
6286390,102.5,5.4
6022590,102.6,5.4
6100804,102.7,5.4
6525436,102.8,5.4
6903120,102.9,5.4
7369064,103,5.4
7878986,103.1,5.4
20109938.00000000,115.4,5.4
19910940.00000000,115.5,5.4
19607256.00000000,115.6,5.4
19266314.00000000,115.7,5.4
18964110.00000000,115.8,5.4
18676320.00000000,115.9,5.4
18422770.00000000,116,5.4
18172244.00000000,116.1,5.4
18032658.00000000,116.2,5.4
17936254.00000000,116.3,5.4
17793094.00000000,116.4,5.4
17733718.00000000,116.5,5.4
17733852.00000000,116.6,5.4
17814112.00000000,116.7,5.4
18035502.00000000,116.8,5.4
18362530.00000000,116.9,5.4
18691070.00000000,117,5.4
19009642.00000000,117.1,5.4
19316532.00000000,117.2,5.4
19480968.00000000,117.3,5.4
19457634.00000000,117.4,5.4
19466790.00000000,117.5,5.4
19360622.00000000,117.6,5.4
19061140.00000000,117.7,5.4
18735572.00000000,117.8,5.4
18392588.00000000,117.9,5.4
18089732.00000000,118,5.4
17803526.00000000,118.1,5.4
17794466.00000000,118.2,5.4
17898316.00000000,118.3,5.4
18064626.00000000,118.4,5.4
18335452.00000000,118.5,5.4
18532274.00000000,118.6,5.4
18716630.00000000,118.7,5.4
18933268.00000000,118.8,5.4
19188410.00000000,118.9,5.4
19500990.00000000,119,5.4
19763838.00000000,119.1,5.4
20045736.00000000,119.2,5.4
9269146,95.3,5.3
9739120,95.4,5.3
10203876.00000000,95.5,5.3
10618916.00000000,95.6,5.3
10713438.00000000,95.7,5.3
10699410.00000000,95.8,5.3
10702036.00000000,95.9,5.3
10609870.00000000,96,5.3
3866962,100.3,5.3
3980756,100.4,5.3
4037540,100.5,5.3
4119452,100.6,5.3
4184730,100.7,5.3
4236200,100.8,5.3
4289308,100.9,5.3
4370590,101,5.3
4496010,101.1,5.3
4634648,101.2,5.3
4959756,101.3,5.3
5418430,101.4,5.3
5851374,101.5,5.3
6278964,101.6,5.3
6706898,101.7,5.3
7139274,101.8,5.3
7298626,101.9,5.3
7346698,102,5.3
7307954,102.1,5.3
7014964,102.2,5.3
6658660,102.3,5.3
6321780,102.4,5.3
6044882,102.5,5.3
5796706,102.6,5.3
5885936,102.7,5.3
6396556,102.8,5.3
6826880,102.9,5.3
7292126,103,5.3
7827112,103.1,5.3
20069732.00000000,115.4,5.3
19750848.00000000,115.5,5.3
19423468.00000000,115.6,5.3
19064532.00000000,115.7,5.3
18722662.00000000,115.8,5.3
18430290.00000000,115.9,5.3
18178454.00000000,116,5.3
17930462.00000000,116.1,5.3
17790532.00000000,116.2,5.3
17779026.00000000,116.3,5.3
17691712.00000000,116.4,5.3
17638166.00000000,116.5,5.3
17705616.00000000,116.6,5.3
17822930.00000000,116.7,5.3
18046356.00000000,116.8,5.3
18313168.00000000,116.9,5.3
18630672.00000000,117,5.3
18940050.00000000,117.1,5.3
19171006.00000000,117.2,5.3
19313782.00000000,117.3,5.3
19271796.00000000,117.4,5.3
19235070.00000000,117.5,5.3
19116196.00000000,117.6,5.3
18802436.00000000,117.7,5.3
18430066.00000000,117.8,5.3
18086684.00000000,117.9,5.3
17766068.00000000,118,5.3
17485674.00000000,118.1,5.3
17466508.00000000,118.2,5.3
17626484.00000000,118.3,5.3
17830494.00000000,118.4,5.3
18127776.00000000,118.5,5.3
18431822.00000000,118.6,5.3
18622054.00000000,118.7,5.3
18862858.00000000,118.8,5.3
19238334.00000000,118.9,5.3
